unit_id,plate_no,vehicle_group,capacity_ton,year,pool,fuel_km_per_liter,status
VH00137,B1137HF,CDE,2.0,2022,Semarang,9.6,Ready
VH00138,B1138IF,CDE,2.0,2023,Malang,9.4,Ready
VH00139,B1139JF,CDE,2.0,2024,Cikarang,9.2,Ready
VH00140,B1140KF,CDE,2.0,2018,Semarang,10.0,Ready
VH00141,B1141LF,CDE,2.0,2019,Malang,9.8,Ready
VH00142,B1142MF,CDE,2.0,2020,Cikarang,9.6,Ready
VH00143,B1143NF,CDE,2.0,2021,Semarang,9.4,Ready
VH00144,B1144OF,CDE,2.0,2022,Malang,9.2,Ready
VH00145,B1145PF,CDE,2.0,2023,Cikarang,10.0,Ready
VH00146,B1146QF,CDE,2.0,2024,Semarang,9.8,Ready
VH00147,B1147RF,CDE,2.0,2018,Malang,9.6,Ready
VH00148,B1148SF,CDE,2.0,2019,Cikarang,9.4,Ready
VH00149,B1149TF,CDE,2.0,2020,Semarang,9.2,Ready
VH00150,B1150UF,CDE,2.0,2021,Malang,10.0,Ready
VH00151,B1151VF,CDE,2.0,2022,Cikarang,9.8,Ready
VH00152,B1152WF,CDE,2.0,2023,Semarang,9.6,Ready
VH00153,B1153XF,CDE,2.0,2024,Malang,9.4,Ready
VH00154,B1154YF,CDE,2.0,2018,Cikarang,9.2,Ready
VH00155,B1155ZF,CDE,2.0,2019,Semarang,10.0,Ready
VH00156,B1156AG,CDE,2.0,2020,Malang,9.8,Ready
VH00157,B1157BG,CDE,2.0,2021,Cikarang,9.6,Ready
VH00158,B1158CG,CDE,2.0,2022,Semarang,9.4,Ready
VH00159,B1159DG,CDE,2.0,2023,Malang,9.2,Ready
VH00160,B1160EG,CDE,2.0,2024,Cikarang,10.0,Ready
VH00161,B1161FG,CDE,2.0,2018,Semarang,9.8,Ready
VH00162,B1162GG,CDE,2.0,2019,Malang,9.6,Ready
VH00163,B1163HG,CDE,2.0,2020,Cikarang,9.4,Ready
VH00164,B1164IG,CDE,2.0,2021,Semarang,9.2,Ready
VH00165,B1165JG,CDE,2.0,2022,Malang,10.0,Ready
VH00166,B1166KG,CDE,2.0,2023,Cikarang,9.8,Ready
VH00167,B1167LG,CDE,2.0,2024,Semarang,9.6,Ready
VH00168,B1168MG,CDE,2.0,2018,Malang,9.4,Ready
VH00169,B1169NG,CDE,2.0,2019,Cikarang,9.2,Ready
VH00170,B1170OG,CDE,2.0,2020,Semarang,10.0,Ready
VH00171,B1171PG,CDE,2.0,2021,Malang,9.8,Ready
VH00172,B1172QG,CDE,2.0,2022,Cikarang,9.6,Ready
VH00173,B1173RG,CDE,2.0,2023,Semarang,9.4,Ready
VH00174,B1174SG,CDE,2.0,2024,Malang,9.2,Ready
VH00175,B1175TG,CDE,2.0,2018,Cikarang,10.0,Ready
VH00176,B1176UG,CDE,2.0,2019,Semarang,9.8,Ready
VH00177,B1177VG,CDE,2.0,2020,Malang,9.6,Ready
VH00178,B1178WG,CDE,2.0,2021,Cikarang,9.4,In Use
VH00179,B1179XG,CDE,2.0,2022,Semarang,9.2,In Use
VH00180,B1180YG,CDE,2.0,2023,Malang,10.0,In Use
VH00181,B1181ZG,CDE,2.0,2024,Cikarang,9.8,In Use
VH00182,B1182AH,CDE,2.0,2018,Semarang,9.6,In Use
VH00183,B1183BH,CDE,2.0,2019,Malang,9.4,In Use
VH00184,B1184CH,CDE,2.0,2020,Cikarang,9.2,In Use
VH00185,B1185DH,CDE,2.0,2021,Semarang,10.0,In Use
VH00186,B1186EH,CDE,2.0,2022,Malang,9.8,In Use
VH00187,B1187FH,CDE,2.0,2023,Cikarang,9.6,In Use
VH00188,B1188GH,CDE,2.0,2024,Semarang,9.4,In Use
VH00189,B1189HH,CDE,2.0,2018,Malang,9.2,In Use
VH00190,B1190IH,CDE,2.0,2019,Cikarang,10.0,In Use
VH00191,B1191JH,CDE,2.0,2020,Semarang,9.8,In Use
VH00192,B1192KH,CDE,2.0,2021,Malang,9.6,Maintenance
VH00193,B1193LH,CDE,2.0,2022,Cikarang,9.4,Maintenance
VH00194,B1194MH,CDE,2.0,2023,Semarang,9.2,Maintenance
VH00195,B1195NH,CDE,2.0,2024,Malang,10.0,Maintenance
VH00196,B1196OH,CDE,2.0,2018,Cikarang,9.8,Maintenance
VH00197,B1197PH,CDE,2.0,2019,Semarang,9.6,Maintenance
VH00198,B1198QH,CDE,2.0,2020,Malang,9.4,Inactive
VH00199,B1199RH,CDE,2.0,2021,Cikarang,9.2,Inactive
VH00200,B1200SH,CDE,2.0,2022,Semarang,10.0,Ready
VH00201,B1201TH,CDE,2.0,2023,Malang,9.8,Ready
VH00202,B1202UH,CDE,2.0,2024,Cikarang,9.6,Ready
VH00203,B1203VH,CDE,2.0,2018,Semarang,9.4,Ready
VH00204,B1204WH,CDE,2.0,2019,Malang,9.2,Ready
VH00205,B1205XH,CDE,2.0,2020,Cikarang,10.0,Ready
VH00206,B1206YH,CDE,2.0,2021,Semarang,9.8,Ready
VH00207,B1207ZH,CDE,2.0,2022,Malang,9.6,Ready
VH00208,B1208AI,CDE,2.0,2023,Cikarang,9.4,Ready
VH00209,B1209BI,CDE,2.0,2024,Semarang,9.2,Ready
VH00210,B1210CI,CDE,2.0,2018,Malang,10.0,Ready
VH00211,B1211DI,CDE,2.0,2019,Cikarang,9.8,Ready
VH00212,B1212EI,CDE,2.0,2020,Semarang,9.6,Ready
VH00213,B1213FI,CDE,2.0,2021,Malang,9.4,Ready
VH00214,B1214GI,CDE,2.0,2022,Cikarang,9.2,Ready
VH00215,B1215HI,CDE,2.0,2023,Semarang,10.0,Ready
VH00216,B1216II,CDE,2.0,2024,Malang,9.8,Ready
VH00217,B1217JI,CDE,2.0,2018,Cikarang,9.6,Ready
VH00218,B1218KI,CDE,2.0,2019,Semarang,9.4,Ready
VH00219,B1219LI,CDE,2.0,2020,Malang,9.2,Ready
VH00220,B1220MI,CDE,2.0,2021,Cikarang,10.0,Ready
VH00221,B1221NI,CDE,2.0,2022,Semarang,9.8,Ready
VH00222,B1222OI,CDE,2.0,2023,Malang,9.6,Ready
VH00223,B1223PI,CDE,2.0,2024,Cikarang,9.4,Ready
VH00224,B1224QI,CDE,2.0,2018,Semarang,9.2,Ready
VH00225,B1225RI,CDE,2.0,2019,Malang,10.0,Ready
VH00226,B1226SI,CDE,2.0,2020,Cikarang,9.8,Ready
VH00227,B1227TI,CDE,2.0,2021,Semarang,9.6,Ready
VH00228,B1228UI,CDE,2.0,2022,Malang,9.4,Ready
VH00229,B1229VI,CDE,2.0,2023,Cikarang,9.2,Ready
VH00230,B1230WI,CDE,2.0,2024,Semarang,10.0,Ready
VH00231,B1231XI,CDE,2.0,2018,Malang,9.8,Ready
VH00232,B1232YI,CDE,2.0,2019,Cikarang,9.6,Ready
VH00233,B1233ZI,CDE,2.0,2020,Semarang,9.4,Ready
VH00234,B1234AJ,CDE,2.0,2021,Malang,9.2,Ready
VH00235,B1235BJ,CDE,2.0,2022,Cikarang,10.0,Ready
VH00236,B1236CJ,CDE,2.0,2023,Semarang,9.8,Ready
VH00237,B1237DJ,CDE,2.0,2024,Malang,9.6,Ready
VH00238,B1238EJ,CDE,2.0,2018,Cikarang,9.4,Ready
VH00239,B1239FJ,CDE,2.0,2019,Semarang,9.2,Ready
VH00240,B1240GJ,CDE,2.0,2020,Malang,10.0,Ready
VH00241,B1241HJ,CDE,2.0,2021,Cikarang,9.8,Ready
VH00242,B1242IJ,CDE,2.0,2022,Semarang,9.6,Ready
VH00243,B1243JJ,CDE,2.0,2023,Malang,9.4,Ready
VH00244,B1244KJ,CDE,2.0,2024,Cikarang,9.2,Ready
VH00245,B1245LJ,CDE,2.0,2018,Semarang,10.0,Ready
VH00246,B1246MJ,CDE,2.0,2019,Malang,9.8,Ready
VH00247,B1247NJ,CDE,2.0,2020,Cikarang,9.6,Ready
VH00248,B1248OJ,CDE,2.0,2021,Semarang,9.4,Ready
VH00249,B1249PJ,CDE,2.0,2022,Malang,9.2,Ready
VH00250,B1250QJ,CDE,2.0,2023,Cikarang,10.0,Ready
VH00251,B1251RJ,CDE,2.0,2024,Semarang,9.8,Ready
VH00252,B1252SJ,CDE,2.0,2018,Malang,9.6,Ready
VH00253,B1253TJ,CDE,2.0,2019,Cikarang,9.4,Ready
VH00254,B1254UJ,CDE,2.0,2020,Semarang,9.2,Ready
VH00255,B1255VJ,CDE,2.0,2021,Malang,10.0,Ready
VH00256,B1256WJ,CDE,2.0,2022,Cikarang,9.8,Ready
VH00257,B1257XJ,CDE,2.0,2023,Semarang,9.6,Ready
VH00258,B1258YJ,CDE,2.0,2024,Malang,9.4,Ready
VH00259,B1259ZJ,CDE,2.0,2018,Cikarang,9.2,Ready
VH00260,B1260AK,CDE,2.0,2019,Semarang,10.0,Ready
VH00261,B1261BK,CDE,2.0,2020,Malang,9.8,Ready
VH00262,B1262CK,CDE,2.0,2021,Cikarang,9.6,Ready
VH00263,B1263DK,CDE,2.0,2022,Semarang,9.4,Ready
VH00264,B1264EK,CDE,2.0,2023,Malang,9.2,Ready
VH00265,B1265FK,CDE,2.0,2024,Cikarang,10.0,Ready
VH00266,B1266GK,CDE,2.0,2018,Semarang,9.8,Ready
VH00267,B1267HK,CDE,2.0,2019,Malang,9.6,Ready
VH00268,B1268IK,CDE,2.0,2020,Cikarang,9.4,Ready
VH00269,B1269JK,CDE,2.0,2021,Semarang,9.2,Ready
VH00270,B1270KK,CDE,2.0,2022,Malang,10.0,Ready
VH00271,B1271LK,CDE,2.0,2023,Cikarang,9.8,Ready
VH00272,B1272MK,CDE,2.0,2024,Semarang,9.6,Ready
VH00273,B1273NK,CDE,2.0,2018,Malang,9.4,Ready
VH00274,B1274OK,CDE,2.0,2019,Cikarang,9.2,Ready
VH00275,B1275PK,CDE,2.0,2020,Semarang,10.0,Ready
VH00276,B1276QK,CDE,2.0,2021,Malang,9.8,Ready
VH00277,B1277RK,CDE,2.0,2022,Cikarang,9.6,Ready
VH00278,B1278SK,CDE,2.0,2023,Semarang,9.4,In Use
VH00279,B1279TK,CDE,2.0,2024,Malang,9.2,In Use
VH00280,B1280UK,CDE,2.0,2018,Cikarang,10.0,In Use
VH00281,B1281VK,CDE,2.0,2019,Semarang,9.8,In Use
VH00282,B1282WK,CDE,2.0,2020,Malang,9.6,In Use
VH00283,B1283XK,CDE,2.0,2021,Cikarang,9.4,In Use
VH00284,B1284YK,CDE,2.0,2022,Semarang,9.2,In Use
VH00285,B1285ZK,CDE,2.0,2023,Malang,10.0,In Use
VH00286,B1286AL,CDE,2.0,2024,Cikarang,9.8,In Use
VH00287,B1287BL,CDE,2.0,2018,Semarang,9.6,In Use
VH00288,B1288CL,CDE,2.0,2019,Malang,9.4,In Use
VH00289,B1289DL,CDE,2.0,2020,Cikarang,9.2,In Use
VH00290,B1290EL,CDE,2.0,2021,Semarang,10.0,In Use
VH00291,B1291FL,CDE,2.0,2022,Malang,9.8,In Use
VH00292,B1292GL,CDE,2.0,2023,Cikarang,9.6,Maintenance
VH00293,B1293HL,CDE,2.0,2024,Semarang,9.4,Maintenance
VH00294,B1294IL,CDE,2.0,2018,Malang,9.2,Maintenance
VH00295,B1295JL,CDE,2.0,2019,Cikarang,10.0,Maintenance
VH00296,B1296KL,CDE,2.0,2020,Semarang,9.8,Maintenance
VH00297,B1297LL,CDE,2.0,2021,Malang,9.6,Maintenance
VH00298,B1298ML,CDE,2.0,2022,Cikarang,9.4,Inactive
VH00299,B1299NL,CDE,2.0,2023,Semarang,9.2,Inactive
VH00300,B1300OL,CDE,2.0,2024,Malang,10.0,Ready
VH00301,B1301PL,CDE,2.0,2018,Cikarang,9.8,Ready
VH00302,B1302QL,CDE,2.0,2019,Semarang,9.6,Ready
VH00303,B1303RL,CDE,2.0,2020,Malang,9.4,Ready
VH00304,B1304SL,CDE,2.0,2021,Cikarang,9.2,Ready
VH00305,B1305TL,CDE,2.0,2022,Semarang,10.0,Ready
VH00306,B1306UL,CDE,2.0,2023,Malang,9.8,Ready
VH00307,B1307VL,CDE,2.0,2024,Cikarang,9.6,Ready
VH00308,B1308WL,CDE,2.0,2018,Semarang,9.4,Ready
VH00309,B1309XL,CDE,2.0,2019,Malang,9.2,Ready
VH00310,B1310YL,CDE,2.0,2020,Cikarang,10.0,Ready
VH00311,B1311ZL,CDE,2.0,2021,Semarang,9.8,Ready
VH00312,B1312AM,CDE,2.0,2022,Malang,9.6,Ready
VH00313,B1313BM,CDE,2.0,2023,Cikarang,9.4,Ready
VH00314,B1314CM,CDE,2.0,2024,Semarang,9.2,Ready
VH00315,B1315DM,CDE,2.0,2018,Malang,10.0,Ready
VH00316,B1316EM,CDE,2.0,2019,Cikarang,9.8,Ready
VH00317,B1317FM,CDE,2.0,2020,Semarang,9.6,Ready
VH00318,B1318GM,CDE,2.0,2021,Malang,9.4,Ready
VH00319,B1319HM,CDE,2.0,2022,Cikarang,9.2,Ready
VH00320,B1320IM,CDE,2.0,2023,Semarang,10.0,Ready
VH00321,B1321JM,CDE,2.0,2024,Malang,9.8,Ready
VH00322,B1322KM,CDE,2.0,2018,Cikarang,9.6,Ready
VH00323,B1323LM,CDE,2.0,2019,Semarang,9.4,Ready
VH00324,B1324MM,CDE,2.0,2020,Malang,9.2,Ready
VH00325,B1325NM,CDE,2.0,2021,Cikarang,10.0,Ready
VH00326,B1326OM,CDE,2.0,2022,Semarang,9.8,Ready
VH00327,B1327PM,CDE,2.0,2023,Malang,9.6,Ready
VH00328,B1328QM,CDE,2.0,2024,Cikarang,9.4,Ready
VH00329,B1329RM,CDE,2.0,2018,Semarang,9.2,Ready
VH00330,B1330SM,CDE,2.0,2019,Malang,10.0,Ready
VH00331,B1331TM,CDE,2.0,2020,Cikarang,9.8,Ready
VH00332,B1332UM,CDE,2.0,2021,Semarang,9.6,Ready
VH00333,B1333VM,CDE,2.0,2022,Malang,9.4,Ready
VH00334,B1334WM,CDE,2.0,2023,Cikarang,9.2,Ready
VH00335,B1335XM,CDE,2.0,2024,Semarang,10.0,Ready
VH00336,B1336YM,CDE,2.0,2018,Malang,9.8,Ready
VH00337,B1337ZM,CDE,2.0,2019,Cikarang,9.6,Ready
VH00338,B1338AN,CDE,2.0,2020,Semarang,9.4,Ready
VH00339,B1339BN,CDE,2.0,2021,Malang,9.2,Ready
VH00340,B1340CN,CDE,2.0,2022,Cikarang,10.0,Ready
VH00341,B1341DN,CDE,2.0,2023,Semarang,9.8,Ready
VH00342,B1342EN,CDE,2.0,2024,Malang,9.6,Ready
VH00343,B1343FN,CDE,2.0,2018,Cikarang,9.4,Ready
VH00344,B1344GN,CDE,2.0,2019,Semarang,9.2,Ready
VH00345,B1345HN,CDE,2.0,2020,Malang,10.0,Ready
VH00346,B1346IN,CDE,2.0,2021,Cikarang,9.8,Ready
VH00347,B1347JN,CDE,2.0,2022,Semarang,9.6,Ready
VH00348,B1348KN,CDE,2.0,2023,Malang,9.4,Ready
VH00349,B1349LN,CDE,2.0,2024,Cikarang,9.2,Ready
VH00350,B1350MN,CDE,2.0,2018,Semarang,10.0,Ready
VH00351,B1351NN,CDE,2.0,2019,Malang,9.8,Ready
VH00352,B1352ON,CDE,2.0,2020,Cikarang,9.6,Ready
VH00353,B1353PN,CDE,2.0,2021,Semarang,9.4,Ready
VH00354,B1354QN,CDE,2.0,2022,Malang,9.2,Ready
VH00355,B1355RN,CDE,2.0,2023,Cikarang,10.0,Ready
VH00356,B1356SN,CDE,2.0,2024,Semarang,9.8,Ready
VH00357,B1357TN,CDE,2.0,2018,Malang,9.6,Ready
VH00358,B1358UN,CDE,2.0,2019,Cikarang,9.4,Ready
VH00359,B1359VN,CDE,2.0,2020,Semarang,9.2,Ready
VH00360,B1360WN,CDE,2.0,2021,Malang,10.0,Ready
VH00361,B1361XN,CDE,2.0,2022,Cikarang,9.8,Ready
VH00362,B1362YN,CDE,2.0,2023,Semarang,9.6,Ready
VH00363,B1363ZN,CDE,2.0,2024,Malang,9.4,Ready
VH00364,B1364AO,CDE,2.0,2018,Cikarang,9.2,Ready
VH00365,B1365BO,CDE,2.0,2019,Semarang,10.0,Ready
VH00366,B1366CO,CDE,2.0,2020,Malang,9.8,Ready
VH00367,B1367DO,CDE,2.0,2021,Cikarang,9.6,Ready
VH00368,B1368EO,CDE,2.0,2022,Semarang,9.4,Ready
VH00369,B1369FO,CDE,2.0,2023,Malang,9.2,Ready
VH00370,B1370GO,CDE,2.0,2024,Cikarang,10.0,Ready
VH00371,B1371HO,CDE,2.0,2018,Semarang,9.8,Ready
VH00372,B1372IO,CDE,2.0,2019,Malang,9.6,Ready
VH00373,B1373JO,CDE,2.0,2020,Cikarang,9.4,Ready
VH00374,B1374KO,CDE,2.0,2021,Semarang,9.2,Ready
VH00375,B1375LO,CDE,2.0,2022,Malang,10.0,Ready
VH00376,B1376MO,CDE,2.0,2023,Cikarang,9.8,Ready
VH00377,B1377NO,CDE,2.0,2024,Semarang,9.6,Ready
VH00378,B1378OO,CDE,2.0,2018,Malang,9.4,In Use
VH00379,B1379PO,CDE,2.0,2019,Cikarang,9.2,In Use
VH00380,B1380QO,CDE,2.0,2020,Semarang,10.0,In Use
VH00381,B1381RO,CDE,2.0,2021,Malang,9.8,In Use
VH00382,B1382SO,CDE,2.0,2022,Cikarang,9.6,In Use
VH00383,B1383TO,CDE,2.0,2023,Semarang,9.4,In Use
VH00384,B1384UO,CDE,2.0,2024,Malang,9.2,In Use
VH00385,B1385VO,CDE,2.0,2018,Cikarang,10.0,In Use
VH00386,B1386WO,CDE,2.0,2019,Semarang,9.8,In Use
VH00387,B1387XO,CDE,2.0,2020,Malang,9.6,In Use
VH00388,B1388YO,CDE,2.0,2021,Cikarang,9.4,In Use
VH00389,B1389ZO,CDE,2.0,2022,Semarang,9.2,In Use
VH00390,B1390AP,CDE,2.0,2023,Malang,10.0,In Use
VH00391,B1391BP,CDE,2.0,2024,Cikarang,9.8,In Use
VH00392,B1392CP,CDE,2.0,2018,Semarang,9.6,Maintenance
VH00393,B1393DP,CDE,2.0,2019,Malang,9.4,Maintenance
VH00394,B1394EP,CDE,2.0,2020,Cikarang,9.2,Maintenance
VH00395,B1395FP,CDE,2.0,2021,Semarang,10.0,Maintenance
